307;467.1009521484;4118;4118;1016
308;464.9350585937;4128;4128;1020
309;462.7832031250;4138;4138;102A
310;460.6451416015;4148;4148;1034
311;458.5208740234;4159;4159;103F
312;456.4102783203;4169;4169;1049
313;454.3130798339;4179;4179;1053
314;452.2293090820;4189;4189;105D
315;450.1587524414;4199;4199;1067
316;448.1012878417;4209;4209;1071
317;446.0567932128;4219;4219;107B
318;444.0251464843;4229;4229;1085
319;442.0062561035;4239;4239;108F
320;440.0000000000;4249;4249;1099
321;438.0062255859;4259;4259;10A3
322;436.0248413085;4269;4269;10AD
323;434.0557250976;4279;4279;10B7
324;432.0987548828;4289;4289;10C1
325;430.1538391113;4299;4299;10CB
326;428.2208557128;4309;4309;10D5
327;426.2997131347;4319;4319;10DF
328;424.3902282714;4329;4329;10E9
329;422.4924011230;4339;4339;10F3
330;420.6060485839;4349;4349;10FD
331;418.7311096191;4359;4359;1107
332;416.8674316406;4368;4368;1110
333;415.0150146484;4378;4378;111A
334;413.1736755371;4388;4388;1124
335;411.3432922363;4398;4398;112E
336;409.5238342285;4408;4408;1138
337;407.7151184082;4418;4418;1142
338;405.9171752929;4428;4428;114C
339;404.1297912597;4437;4437;1155
340;402.3529663085;4447;4447;115F
341;400.5865173339;4457;4457;1169
342;398.8304138183;4467;4467;1173
343;397.0845642089;4477;4477;117D
344;395.3488464355;4486;4486;1186
345;393.6231994628;4496;4496;1190
346;391.9075012207;4506;4506;119A
347;390.2017211914;4516;4516;11A4
348;388.5057373046;4525;4525;11AD
349;386.8195190429;4535;4535;11B7
350;385.1428527832;4545;4545;11C1
351;383.4757690429;4554;4554;11CA
352;381.8182067871;4564;4564;11D4
353;380.1699523925;4574;4574;11DE
354;378.5310668945;4583;4583;11E7
355;376.9013977050;4593;4593;11F1
356;375.2809143066;4603;4603;11FB
357;373.6694946289;4612;4612;1204
358;372.0670166015;4622;4622;120E
359;370.4735412597;4632;4632;1218
360;368.8889160156;4641;4641;1221
361;367.3129882812;4651;4651;122B
362;365.7458801269;4661;4661;1235
363;364.1873474121;4670;4670;123E
364;362.6373901367;4680;4680;1248
365;361.0959167480;4689;4689;1251
366;359.5628356933;4699;4699;125B
367;358.0381469726;4709;4709;1265
368;356.5217590332;4718;4718;126E
369;355.0135498046;4728;4728;1278
370;353.5135192871;4737;4737;1281
371;352.0215454101;4747;4747;128B
372;350.5376281738;4757;4757;1295
373;349.0616760253;4766;4766;129E
374;347.5935974121;4776;4776;12A8
375;346.1333312988;4785;4785;12B1
376;344.6808471679;4795;4795;12BB
377;343.2360534667;4804;4804;12C4
378;341.7989196777;4814;4814;12CE
379;340.3694152832;4823;4823;12D7
380;338.9473876953;4833;4833;12E1
381;337.5328063964;4842;4842;12EA
382;336.1256713867;4852;4852;12F4
383;334.7258605957;4861;4861;12FD
384;333.3333435058;4871;4871;1307
385;331.9480285644;4880;4880;1310
386;330.5699462890;4890;4890;131A
387;329.1989746093;4899;4899;1323
388;327.8350219726;4909;4909;132D
389;326.4781494140;4918;4918;1336
390;325.1282348632;4927;4927;133F
391;323.7851562500;4937;4937;1349
392;322.4489746093;4946;4946;1352
393;321.1195983886;4956;4956;135C
394;319.7969360351;4965;4965;1365
395;318.4810180664;4975;4975;136F
396;317.1717224121;4984;4984;1378
397;315.8689880371;4994;4994;1382
398;314.5728454589;5003;5003;138B
399;313.2832031250;5012;5012;1394
400;312.0000000000;5022;5022;139E
401;310.7232055664;5031;5031;13A7
402;309.4527282714;5041;5041;13B1
403;308.1885681152;5050;5050;13BA
404;306.9306945800;5059;5059;13C3
405;305.6790466308;5069;5069;13CD
406;304.4335021972;5078;5078;13D6
407;303.1940917968;5088;5088;13E0
408;301.9608154296;5097;5097;13E9
409;300.7335205078;5106;5106;13F2
410;299.5122070312;5116;5116;13FC
411;298.2968444824;5125;5125;1405
412;297.0873718261;5134;5134;140E
413;295.8837890625;5144;5144;1418
414;294.6859741210;5153;5153;1421
415;293.4939880371;5163;5163;142B
416;292.3077087402;5172;5172;1434
417;291.1271057128;5181;5181;143D
418;289.9521484375;5191;5191;1447
419;288.7828369140;5200;5200;1450
420;287.6190795898;5209;5209;1459
421;286.4608154296;5219;5219;1463
422;285.3080749511;5228;5228;146C
423;284.1607666015;5237;5237;1475
424;283.0188598632;5247;5247;147F
425;281.8823242187;5256;5256;1488
426;280.7511901855;5265;5265;1491
427;279.6252746582;5275;5275;149B
428;278.5046691894;5284;5284;14A4
429;277.3892822265;5293;5293;14AD
430;276.2790527343;5303;5303;14B7
431;275.1740112304;5312;5312;14C0
432;274.0740661621;5321;5321;14C9
433;272.9792175292;5331;5331;14D3
434;271.8894042968;5340;5340;14DC
435;270.8045959472;5349;5349;14E5
436;269.7247619628;5359;5359;14EF
437;268.6498718261;5368;5368;14F8
438;267.5798950195;5377;5377;1501
439;266.5148315429;5387;5387;150B
440;265.4545288085;5396;5396;1514
441;264.3991088867;5405;5405;151D
442;263.3484497070;5415;5415;1527
443;262.3024902343;5424;5424;1530
444;261.2612609863;5433;5433;1539
445;260.2247314453;5443;5443;1543
446;259.1928405761;5452;5452;154C
447;258.1655578613;5461;5461;1555
448;257.1428833007;5470;5470;155E
449;256.1247253417;5480;5480;1568
